name,email,phone,experience,skills,keyword_count,found_keywords,is_relevant,file_name
Liam Boyle,liam.boyle@hotmail.com,089 594 1378,"Advanced Certificate in Hospitality Management, Waterford Institute of Technology (Currently studying)
Bachelor of Arts in Arts, Dundalk Institute of Technology (2019)","Advanced Certificate in Hospitality Management, Waterford Institute of Technology (Currently studying)
Bachelor of Arts in Arts, Dundalk Institute of Technology (2019)",7,"cook, fast food, customer service, hospitality, kitchen, shift manager, food preparation",True,Irish_CV_022.pdf
Roisin Brennan,roisinb@yahoo.com,089 543 1811,"Bachelor of Engineering in Business, Griffith College Dublin (2020)","Bachelor of Engineering in Business, Griffith College Dublin (2020)",1,customer service,False,Irish_CV_036.pdf
Liam Lynch,liamlynch@hotmail.com,085 380 8960,"Leaving Certificate in Communications, Trinity College Dublin (2019)
Bachelor of Business Studies in Psychology, Dundalk Institute of Technology (2019)","Leaving Certificate in Communications, Trinity College Dublin (2019)
Bachelor of Business Studies in Psychology, Dundalk Institute of Technology (2019)",2,"kitchen, team member",True,Irish_CV_037.pdf
Eimear Byrne,ebyrne@gmail.com,089 478 0457,"Ordinary Bachelor Degree in Hospitality Management, University College Cork (Currently studying)","Ordinary Bachelor Degree in Hospitality Management, University College Cork (Currently studying)",2,"hospitality, shift manager",True,Irish_CV_023.pdf
Emma Boyle,emmab@hotmail.com,086 875 6640,"Master of Arts in Nutrition, Trinity College Dublin (Currently studying)
Bachelor of Arts in Accounting, Dublin Institute of Technology (2023)","• health and safety
• fast-paced environment
• time management
• food hygiene
• scheduling
• menu knowledge
• order taking
• training
• Google Workspace
• Sales
REFERENCES
References available upon request",5,"fast food, customer service, cashier, kitchen, food preparation",True,Irish_CV_035.pdf
Oisin Lynch,olynch@hotmail.com,087 993 5184,"Higher Certificate in Arts, Institute of Technology Carlow (2024)","• customer service
• cooking
• health and safety
• conflict resolution
• teamwork
• upselling
• HACCP
• food preparation
• allergen awareness
• Google Workspace
• Social Media
REFERENCES
References available upon request",6,"cook, fast food, customer service, cashier, kitchen, food preparation",True,Irish_CV_021.pdf
Liam O'Farrell,farrell@eircom.net,085 533 8756,"Bachelor of Engineering in Mathematics, Limerick Institute of Technology (Currently studying)","Bachelor of Engineering in Mathematics, Limerick Institute of Technology (Currently studying)",7,"cook, burger king, kitchen, server, shift manager, food preparation, kfc",True,Irish_CV_009.pdf
Cillian Ryan,cillian.ryan@gmail.com,089 969 4939,"Higher Certificate in Hotel Management, Limerick Institute of Technology (2021)
Honours Bachelor Degree in Hotel Management, Griffith College Dublin (Currently studying)","Higher Certificate in Hotel Management, Limerick Institute of Technology (2021)
Honours Bachelor Degree in Hotel Management, Griffith College Dublin (Currently studying)",5,"fast food, customer service, cashier, kitchen, food preparation",True,Irish_CV_008.pdf
Siobhan McGrath,smcgrath@eircom.net,085 807 1652,"Honours Bachelor Degree in Hospitality Management, Trinity College Dublin (2018)
Honours Bachelor Degree in Arts, Dundalk Institute of Technology (2023)","Honours Bachelor Degree in Hospitality Management, Trinity College Dublin (2018)
Honours Bachelor Degree in Arts, Dundalk Institute of Technology (2023)",6,"mcdonald's, customer service, restaurant, hospitality, kitchen, team member",True,Irish_CV_020.pdf
Roisin O'Neill,neill@outlook.com,085 667 0338,"Advanced Certificate in Food Science, Galway-Mayo Institute of Technology (2020)","Advanced Certificate in Food Science, Galway-Mayo Institute of Technology (2020)",2,"kitchen, team member",True,Irish_CV_034.pdf
Grace Nolan,gracenolan@hotmail.com,087 361 2496,"Master of Science in Sociology, Maynooth University (2020)
PhD in Human Resources, University of Limerick (2020)","• teamwork
• food safety
• health and safety
• HACCP
• food presentation
• cooking
• scheduling
• inventory management
• Google Workspace
• Team Leadership
• Event Planning
• Fluent English
REFERENCES
References available upon request",7,"cook, fast food, customer service, kitchen, team member, food preparation, drive-thru",True,Irish_CV_018.pdf
Lucy O'Farrell,farrell.lucy@eircom.net,086 355 3105,"Master of Arts in Finance, Institute of Technology Sligo (2020)","Master of Arts in Finance, Institute of Technology Sligo (2020)",4,"customer service, restaurant, food preparation, drive-thru",True,Irish_CV_030.pdf
Roisin Kelly,rkelly@icloud.com,086 911 7276,"Bachelor of Engineering in Mathematics, Limerick Institute of Technology (Currently studying)","Bachelor of Engineering in Mathematics, Limerick Institute of Technology (Currently studying)",7,"fast food, mcdonald's, customer service, kitchen, team member, food preparation, drive-thru",True,Irish_CV_024.pdf
Oisin Clarke,oisinclarke@icloud.com,089 341 7891,"Higher Diploma in Languages, Griffith College Dublin (2017)","Higher Diploma in Languages, Griffith College Dublin (2017)",3,"cook, kitchen, food preparation",True,Irish_CV_025.pdf
Darragh Collins,dcollins@outlook.com,086 874 1848,"Honours Bachelor Degree in Hospitality Management, University College Cork (2021)
Master of Science in Arts, Letterkenny Institute of Technology (2023)","Honours Bachelor Degree in Hospitality Management, University College Cork (2021)
Master of Science in Arts, Letterkenny Institute of Technology (2023)",5,"cook, customer service, hospitality, kitchen, kfc",True,Irish_CV_031.pdf
Oisin Boyle,oisin.boyle@outlook.com,085 474 3953,"Ordinary Bachelor Degree in Marketing, Cork Institute of Technology (2019)
Master of Business Administration in Tourism, National College of Ireland (Currently studying)","• inventory management
• food preparation
• allergen awareness
• food safety
• quality control
• POS systems
• teamwork
• kitchen experience
• communication
• fast-paced environment
• Marketing
• Customer Relationship Management",7,"cook, fast food, customer service, kitchen, team member, food preparation, drive-thru",True,Irish_CV_019.pdf
Liam Quinn,lquinn@outlook.com,089 242 2610,"Honours Bachelor Degree in Mathematics, Cork Institute of Technology (2019)
Master of Arts in Human Resources, Institute of Technology Sligo (2017)","• stock rotation
• cleaning
• baking
• health and safety
• customer service
• multitasking
• Basic Irish
• Customer Relationship Management
• Fluent English",4,"customer service, kitchen, server, food preparation",True,Irish_CV_027.pdf
Seamus Duffy,duffy.seamus@yahoo.com,083 208 7029,"Higher Certificate in Mathematics, Galway-Mayo Institute of Technology (Currently studying)
PhD in Languages, University College Dublin (2017)","Higher Certificate in Mathematics, Galway-Mayo Institute of Technology (Currently studying)
PhD in Languages, University College Dublin (2017)",4,"fast food, customer service, kitchen, food preparation",True,Irish_CV_033.pdf
Daniel O'Brien,brien@icloud.com,083 860 9822,"Bachelor of Engineering in Business, Technological University Dublin (2018)
Advanced Certificate in Human Resources, Dublin Institute of Technology (Currently studying)","Bachelor of Engineering in Business, Technological University Dublin (2018)
Advanced Certificate in Human Resources, Dublin Institute of Technology (Currently studying)",6,"cook, fast food, customer service, kitchen, team member, food preparation",True,Irish_CV_032.pdf
Sean McLoughlin,mcloughlin.sean@yahoo.com,085 996 1399,"Master of Science in Business, University College Cork (Currently studying)
Advanced Certificate in English, National College of Ireland (2018)","Master of Science in Business, University College Cork (Currently studying)
Advanced Certificate in English, National College of Ireland (2018)",2,"cook, kitchen",True,Irish_CV_026.pdf
Orla Brennan,brennan.orla@hotmail.com,087 194 6147,"PhD in Mathematics, Dublin City University (2020)","PhD in Mathematics, Dublin City University (2020)",3,"kitchen, team member, drive-thru",True,Irish_CV_082.pdf
Saoirse O'Connell,saoirseo@eircom.net,089 231 2767,"Bachelor of Science in Culinary Arts, National University of Ireland, Galway (2019)","Bachelor of Science in Culinary Arts, National University of Ireland, Galway (2019)",7,"cook, fast food, customer service, cashier, kitchen, team member, food preparation",True,Irish_CV_096.pdf
Emily Murphy,murphy.emily@eircom.net,083 573 4107,"Bachelor of Science in Tourism, Cork Institute of Technology (2017)","Bachelor of Science in Tourism, Cork Institute of Technology (2017)",5,"customer service, restaurant, kitchen, food preparation, kfc",True,Irish_CV_041.pdf
Ava Nolan,ava.nolan@eircom.net,085 399 3734,"Higher Certificate in Languages, Institute of Technology Carlow (2019)
Bachelor of Science in Mathematics, University of Limerick (2016)","Higher Certificate in Languages, Institute of Technology Carlow (2019)
Bachelor of Science in Mathematics, University of Limerick (2016)",3,"customer service, food preparation, kfc",True,Irish_CV_055.pdf
Ciara Connolly,cconnolly@outlook.com,083 590 0276,"Bachelor of Arts in Accounting, University College Cork (2018)","Bachelor of Arts in Accounting, University College Cork (2018)",6,"fast food, customer service, kitchen, team member, food preparation, drive-thru",True,Irish_CV_069.pdf
Aisling Moore,aislingmoore@eircom.net,087 006 6714,"Advanced Certificate in Hotel Management, Griffith College Dublin (2024)","Advanced Certificate in Hotel Management, Griffith College Dublin (2024)",2,"kitchen, food preparation",True,Irish_CV_068.pdf
Amelia Moran,amelia.moran@yahoo.com,086 392 6242,"Higher Diploma in Psychology, University College Dublin (2019)","Higher Diploma in Psychology, University College Dublin (2019)",3,"customer service, kitchen, food preparation",True,Irish_CV_054.pdf
Caoimhe McLoughlin,cmcloughlin@eircom.net,087 297 4805,"Advanced Certificate in English, University of Limerick (2023)
Bachelor of Commerce in Computer Science, Galway-Mayo Institute of Technology (2015)","Advanced Certificate in English, University of Limerick (2023)
Bachelor of Commerce in Computer Science, Galway-Mayo Institute of Technology (2015)",1,kitchen,False,Irish_CV_040.pdf
Ryan Collins,ryancollins@icloud.com,086 269 4314,"Bachelor of Business Studies in Food Science, Limerick Institute of Technology (2018)
Leaving Certificate in Sociology, Dublin City University (2024)","Bachelor of Business Studies in Food Science, Limerick Institute of Technology (2018)
Leaving Certificate in Sociology, Dublin City University (2024)",6,"fast food, customer service, kitchen, shift manager, food preparation, drive-thru",True,Irish_CV_097.pdf
Cathal Quinn,quinn.cathal@outlook.com,083 071 2802,"Bachelor of Arts in Communications, Dundalk Institute of Technology (Currently studying)
Higher Certificate in Hotel Management, Trinity College Dublin (2021)","• cash handling
• teamwork
• allergen awareness
• conflict resolution
• multitasking
• POS systems
• communication
• problem-solving
• Customer Relationship Management
• Sales
• Team Leadership
REFERENCES
References available upon request",3,"customer service, kitchen, food preparation",True,Irish_CV_083.pdf
Conor O'Brien,brien@yahoo.com,083 326 8146,"Bachelor of Science in Human Resources, Trinity College Dublin (2016)","Bachelor of Science in Human Resources, Trinity College Dublin (2016)",6,"cook, fast food, customer service, kitchen, team member, food preparation",True,Irish_CV_095.pdf
Finn Clarke,finn.clarke@gmail.com,087 307 3291,"Master of Business Administration in Communications, Institute of Technology Sligo (2020)","Master of Business Administration in Communications, Institute of Technology Sligo (2020)",5,"fast food, customer service, kitchen, shift manager, food preparation",True,Irish_CV_081.pdf
James Healy,jhealy@hotmail.com,083 923 0198,"PhD in English, Dublin Business School (Currently studying)
Higher Certificate in Hotel Management, University of Limerick (2017)","PhD in English, Dublin Business School (Currently studying)
Higher Certificate in Hotel Management, University of Limerick (2017)",1,team member,False,Irish_CV_056.pdf
Emma Moran,emoran@icloud.com,087 048 6316,"Bachelor of Business Studies in Psychology, Limerick Institute of Technology (2022)","Bachelor of Business Studies in Psychology, Limerick Institute of Technology (2022)",4,"burger king, customer service, team member, food preparation",True,Irish_CV_042.pdf
Emily Lynch,lynch.emily@hotmail.com,086 847 6470,"Ordinary Bachelor Degree in Hospitality Management, Letterkenny Institute of Technology (2015)
Master of Science in Mathematics, Dundalk Institute of Technology (2022)","Ordinary Bachelor Degree in Hospitality Management, Letterkenny Institute of Technology (2015)
Master of Science in Mathematics, Dundalk Institute of Technology (2022)",3,"customer service, hospitality, kitchen",True,Irish_CV_043.pdf
Fionn Collins,collins.fionn@gmail.com,086 233 1074,"Bachelor of Commerce in Languages, Griffith College Dublin (2015)","Bachelor of Commerce in Languages, Griffith College Dublin (2015)",6,"cook, restaurant, kitchen, team member, drive-thru, kfc",True,Irish_CV_057.pdf
Oisin Murray,oisinm@icloud.com,085 331 2650,"Bachelor of Commerce in Accounting, Maynooth University (2020)
Higher Certificate in Finance, Letterkenny Institute of Technology (2024)","Bachelor of Commerce in Accounting, Maynooth University (2020)
Higher Certificate in Finance, Letterkenny Institute of Technology (2024)",6,"fast food, customer service, kitchen, server, team member, food preparation",True,Irish_CV_080.pdf
Amelia Doherty,ameliadoherty@hotmail.com,089 079 3910,"Higher Diploma in Human Resources, Dublin City University (2023)","Higher Diploma in Human Resources, Dublin City University (2023)",3,"cook, team member, food preparation",True,Irish_CV_094.pdf
Cillian O'Farrell,cilliano@hotmail.com,083 254 8476,"PhD in Information Technology, Galway-Mayo Institute of Technology (2018)","PhD in Information Technology, Galway-Mayo Institute of Technology (2018)",4,"fast food, customer service, kitchen, food preparation",True,Irish_CV_090.pdf
Ryan Murray,rmurray@hotmail.com,089 230 6564,"Honours Bachelor Degree in Nutrition, University College Cork (2018)","Honours Bachelor Degree in Nutrition, University College Cork (2018)",4,"cook, kitchen, team member, shift manager",True,Irish_CV_084.pdf
Ciara Fitzgerald,ciarafitzgerald@eircom.net,089 739 1027,"Master of Business Administration in Business, University of Limerick (2020)","Master of Business Administration in Business, University of Limerick (2020)",3,"cook, team member, food preparation",True,Irish_CV_053.pdf
James O'Neill,neill@eircom.net,089 100 4203,"Honours Bachelor Degree in Sociology, Griffith College Dublin (2021)","• time management
• conflict resolution
• HACCP
• upselling
• fast-paced environment
• teamwork
• communication
• Basic Irish
• Microsoft Office
• Google Workspace
• Social Media
REFERENCES
References available upon request",7,"fast food, mcdonald's, customer service, kitchen, team member, shift manager, food preparation",True,Irish_CV_047.pdf
Seamus McLoughlin,smcloughlin@gmail.com,085 224 8700,"Bachelor of Engineering in Languages, Dublin Institute of Technology (2024)","• upselling
• stock rotation
• time management
• first aid
• kitchen experience
• allergen awareness
• food hygiene
• HACCP
• fast-paced environment
• Marketing
• Microsoft Office",5,"fast food, customer service, kitchen, team member, food preparation",True,Irish_CV_046.pdf
Aoife McLoughlin,amcloughlin@eircom.net,086 717 7641,"Bachelor of Science in Hotel Management, Griffith College Dublin (Currently studying)","Bachelor of Science in Hotel Management, Griffith College Dublin (Currently studying)",5,"cook, fast food, customer service, kitchen, food preparation",True,Irish_CV_052.pdf
Liam Quinn,lquinn@outlook.com,086 367 7675,"Ordinary Bachelor Degree in Human Resources, Waterford Institute of Technology (2019)
Leaving Certificate in Computer Science, Griffith College Dublin (2016)","Ordinary Bachelor Degree in Human Resources, Waterford Institute of Technology (2019)
Leaving Certificate in Computer Science, Griffith College Dublin (2016)",3,"kitchen, team member, shift manager",True,Irish_CV_085.pdf
Jack McLoughlin,jackm@outlook.com,087 591 6173,"PhD in Business, Dublin Institute of Technology (Currently studying)
Higher Diploma in Mathematics, University College Cork (2018)","PhD in Business, Dublin Institute of Technology (Currently studying)
Higher Diploma in Mathematics, University College Cork (2018)",2,"kitchen, food preparation",True,Irish_CV_091.pdf
