name,email,availability,courses,visa
Sarah Collins,collins.sarah@yahoo.com,morning,Food Handling,Stamp 2
Cillian Moore,cillian.moore@eircom.net,morning,None,Stamp 2
Oisin Boyle,oisin.boyle@outlook.com,night,Food Safety,Stamp 4
Emily Doherty,emilydoherty@eircom.net,morning,Customer Service,Stamp 2
Liam O'Farrell,farrell@eircom.net,night,Customer Service,Stamp 4
Seamus Duffy,duffy.seamus@yahoo.com,morning,Food Safety,Stamp 2
Liam Quinn,lquinn@outlook.com,morning,Food Handling,Stamp 2
Grace McCarthy,gmccarthy@gmail.com,night,None,Stamp 4
Tadhg O'Sullivan,sullivan@yahoo.com,morning,Food Safety,Stamp 4
Caoimhe McLoughlin,cmcloughlin@eircom.net,morning,HACCP,Stamp 2
Oisin Lynch,olynch@hotmail.com,night,HACCP,Stamp 2
Emily Lynch,lynch.emily@hotmail.com,morning,None,Stamp 2
Roisin Brennan,roisinb@yahoo.com,morning,Customer Service,Stamp 2
James O'Neill,neill@eircom.net,night,Food Handling,Stamp 2
Sean Collins,collins.sean@eircom.net,full availability,Customer Service,Stamp 4
Roisin O'Neill,neill@outlook.com,full availability,Customer Service,Stamp 2
Lucy O'Farrell,farrell.lucy@eircom.net,full availability,Customer Service,Stamp 2
Emma Boyle,emmab@hotmail.com,night,None,Stamp 4
Seamus Burke,sburke@icloud.com,night,HACCP,Stamp 4
Seamus McLoughlin,smcloughlin@gmail.com,full availability,HACCP,Stamp 2
Emily Healy,healy.emily@outlook.com,morning,None,Stamp 2
Eimear Byrne,ebyrne@gmail.com,morning,Customer Service,Stamp 2
Cillian Ryan,cillian.ryan@gmail.com,morning,Food Handling,Stamp 2
Chloe Duffy,duffy.chloe@icloud.com,morning,None,Stamp 2
Emily Fitzgerald,emilyfitzgerald@outlook.com,full availability,HACCP,Stamp 2
Daniel O'Brien,brien@icloud.com,morning,Customer Service,Stamp 2
Sophie Ryan,sophier@eircom.net,full availability,Customer Service,Stamp 4
Grace Nolan,gracenolan@hotmail.com,night,None,Stamp 4
Oisin Clarke,oisinclarke@icloud.com,full availability,None,Stamp 2
Orla Hughes,orlah@gmail.com,morning,Food Safety,Stamp 2
Liam Lynch,liamlynch@hotmail.com,night,Customer Service,Stamp 4
Declan Healy,declanh@eircom.net,morning,Customer Service,Stamp 2
James O'Connor,connor@yahoo.com,morning,HACCP,Stamp 2
Siobhan McGrath,smcgrath@eircom.net,morning,Customer Service,Stamp 2
Fionn O'Sullivan,fionno@icloud.com,morning,Customer Service,Stamp 4
Emma Moran,emoran@icloud.com,full availability,Customer Service,Stamp 2
Seamus Nolan,seamusnolan@outlook.com,full availability,Food Handling,Stamp 2
Amelia O'Connor,connor@gmail.com,full availability,Customer Service,Stamp 2
Darragh Collins,dcollins@outlook.com,morning,None,Stamp 2
Cillian O'Farrell,farrell@icloud.com,full availability,Food Handling,Stamp 2
Emily Murphy,murphy.emily@eircom.net,full availability,HACCP,Stamp 2
Noah Boyle,noah.boyle@eircom.net,night,Food Handling,Stamp 4
Roisin Kelly,rkelly@icloud.com,morning,Food Safety,Stamp 2
Aisling Connolly,aislingc@outlook.com,night,HACCP,Stamp 4
Ava Doherty,avadoherty@yahoo.com,full availability,Customer Service,Stamp 2
Liam O'Reilly,reilly@yahoo.com,morning,None,Stamp 4
Sean McLoughlin,mcloughlin.sean@yahoo.com,morning,Customer Service,Stamp 2
Liam Boyle,liam.boyle@hotmail.com,night,None,Stamp 2
Sarah O'Doherty,doherty@yahoo.com,morning,Customer Service,Stamp 4
Darragh Brennan,darragh.brennan@outlook.com,night,None,Stamp 2
